year,id,age,educ,sex,gunlaw,grass,realinc
1972,10,30,12,2,1,NA,18951
1972,13,54,9,1,1,NA,13537
1972,17,24,14,1,2,NA,24366
1972,18,62,8,2,2,NA,18951
1972,20,21,14,2,1,NA,50763
1972,21,57,12,1,NA,NA,37226
1972,27,42,12,1,2,NA,30458
1972,34,78,8,2,1,NA,2707
1972,39,58,6,1,2,NA,18951
1972,40,51,12,2,2,NA,13537
1972,43,39,8,1,1,NA,13537
1972,44,64,8,2,1,NA,18951
1972,46,27,12,2,2,NA,NA
1972,60,57,11,2,1,NA,60915
1972,62,62,9,2,1,NA,13537
1972,65,39,12,1,2,NA,30458
1972,72,30,12,2,1,NA,24366
1972,76,23,16,1,1,NA,37226
1972,83,49,15,1,2,NA,43994
1972,84,28,15,2,1,NA,NA
1972,93,58,13,2,1,NA,37226
1972,94,54,14,1,2,NA,37226
1972,99,34,15,1,1,NA,43994
1972,106,74,8,2,1,NA,8122
1972,109,27,16,2,1,NA,8122
1972,120,27,12,2,2,NA,8122
1972,127,29,16,2,NA,NA,NA
1972,131,75,6,1,2,NA,18951
1972,137,22,13,2,1,NA,24366
1972,139,73,11,2,1,NA,13537
1972,140,73,12,1,2,NA,2707
1972,144,69,10,2,2,NA,8122
1972,148,72,2,1,2,NA,2707
1972,155,49,12,2,1,NA,8122
1972,160,36,9,2,1,NA,13537
1972,164,44,10,1,2,NA,30458
1972,165,50,18,1,2,NA,24366
1972,172,29,12,1,2,NA,43994
1972,173,19,10,1,2,NA,2707
1972,182,27,12,2,1,NA,8122
1972,184,63,5,2,1,NA,13537
1972,186,65,1,1,1,NA,13537
1972,187,59,2,1,2,NA,13537
1972,188,26,14,1,1,NA,109355
1972,189,41,16,2,1,NA,109355
1972,195,21,12,2,1,NA,NA
1972,198,50,12,1,1,NA,43994
1972,199,43,12,1,2,NA,30458
1972,204,48,8,2,2,NA,74452
1972,206,44,3,2,1,NA,18951
1972,215,70,6,2,2,NA,8122
1972,216,31,14,2,2,NA,24366
1972,223,53,17,2,1,NA,60915
1972,224,44,12,2,1,NA,NA
1972,242,56,7,1,2,NA,109355
1972,253,34,12,2,1,NA,24366
1972,254,19,12,1,1,NA,18951
1972,256,30,14,1,2,NA,43994
1972,266,32,12,2,1,NA,30458
1972,271,80,7,2,1,NA,2707
1972,275,30,16,1,1,NA,50763
1972,276,63,16,1,NA,NA,74452
1972,277,34,13,1,1,NA,43994
1972,285,44,12,2,1,NA,8122
1972,291,43,9,2,1,NA,24366
1972,296,23,12,2,1,NA,18951
1972,304,60,12,1,1,NA,24366
1972,307,55,9,2,NA,NA,24366
1972,319,37,0,2,1,NA,8122
1972,326,40,12,2,1,NA,50763
1972,339,33,11,2,1,NA,50763
1972,340,23,11,2,1,NA,2707
1972,348,49,8,1,2,NA,30458
1972,356,72,5,1,1,NA,13537
1972,361,62,5,1,2,NA,8122
1972,363,32,14,2,1,NA,13537
1972,364,58,12,2,1,NA,13537
1972,376,45,11,1,2,NA,30458
1972,378,66,7,1,2,NA,13537
1972,385,49,13,2,1,NA,24366
1972,391,21,13,1,2,NA,2707
1972,399,53,7,1,2,NA,13537
1972,401,71,6,1,2,NA,8122
1972,404,69,8,2,1,NA,13537
1972,405,74,9,2,1,NA,8122
1972,408,61,8,2,2,NA,13537
1972,409,60,11,2,1,NA,2707
1972,417,55,11,1,1,NA,24366
1972,423,38,12,1,2,NA,43994
1972,427,19,12,1,2,NA,30458
1972,449,39,12,2,NA,NA,30458
1972,451,22,12,2,2,NA,60915
1972,453,57,13,1,1,NA,30458
1972,463,20,9,1,1,NA,30458
1972,467,27,5,2,1,NA,30458
1972,472,57,9,2,2,NA,13537
1972,481,25,12,1,1,NA,37226
1972,484,29,19,1,1,NA,43994
1972,487,44,12,1,2,NA,24366
1972,489,23,11,1,1,NA,18951
1972,490,58,12,2,2,NA,24366
1972,494,32,12,2,1,NA,18951
1972,495,52,7,1,1,NA,13537
1972,497,35,10,2,1,NA,8122
1972,498,45,14,1,1,NA,18951
1972,517,42,11,2,1,NA,43994
1972,520,49,12,1,2,NA,30458
1972,523,55,12,1,2,NA,37226
1972,534,20,13,2,1,NA,60915
1972,540,25,12,1,2,NA,50763
1972,541,28,12,2,1,NA,18951
1972,545,36,14,2,1,NA,24366
1972,554,59,12,1,2,NA,30458
1972,556,63,13,2,2,NA,13537
1972,557,80,9,2,2,NA,NA
1972,560,21,13,1,2,NA,NA
1972,576,69,10,2,1,NA,18951
1972,577,65,8,1,1,NA,24366
1972,583,60,8,1,2,NA,37226
1972,584,53,12,1,2,NA,74452
1972,591,36,12,2,1,NA,60915
1972,593,26,12,1,1,NA,37226
1972,595,24,11,2,1,NA,24366
1972,598,21,11,2,1,NA,24366
1972,602,53,13,1,2,NA,24366
1972,611,24,12,2,1,NA,8122
1972,614,22,9,1,1,NA,18951
1972,624,37,13,1,1,NA,43994
1972,626,22,15,2,1,NA,24366
1972,627,60,13,2,1,NA,8122
1972,630,60,12,1,2,NA,37226
1972,645,70,9,1,1,NA,2707
1972,656,69,8,2,1,NA,13537
1972,657,25,18,1,1,NA,13537
1972,658,43,12,2,1,NA,18951
1972,662,65,8,1,1,NA,24366
1972,673,20,12,2,1,NA,18951
1972,677,43,13,1,1,NA,60915
1972,680,35,12,2,1,NA,37226
1972,682,51,14,2,1,NA,NA
1972,687,30,16,1,1,NA,43994
1972,695,45,12,2,1,NA,13537
1972,702,20,14,1,1,NA,24366
1972,707,45,12,1,2,NA,50763
1972,708,44,14,2,1,NA,43994
1972,711,82,9,2,1,NA,2707
1972,714,38,14,2,1,NA,37226
1972,719,57,16,1,2,NA,30458
1972,727,66,3,1,2,NA,8122
1972,731,29,12,1,2,NA,50763
